4QK8 ydaO-yuaA
4P5J Tymo_tRNA-like
4FEN Purine
3RG5 tRNA-Sec
3DIL Lysine
4WFL Bacteria_large_SRP
3R4F Phage_pRNA
6JQ6 Hatchet
3E5C SMK_box_riboswitch
4XWF ZMP-ZTP
3WFS tRNA
1P6V tmRNA
1MFQ Metazoa_SRP
2DER tRNA
5D5L preQ1-II
1DUH Bacteria_small_SRP
3MOJ LSU_rRNA_bacteria
4ENC Fluoride
3D2V TPP
2A43 RF_site3
5SWD Purine
1NBS RNaseP_bact_b
3RKF Purine
3DHS RNaseP_bact_b
5LYS 7SK
4AOB SAM
2A64 RNaseP_bact_b
3SUX THF
4OQU SAM-I-IV-variant
6JQ5 Hatchet
4Y1M yybP-ykoY
1XJR s2m
1MMS LSU_rRNA_bacteria
3Q3Z c-di-GMP-II
3SKL MFR
5HR7 tRNA
4QOZ Histone3
6DN2 FMN
1U6B Intron_gpI
1U9S RNaseP_bact_a
1KXK Intron_gpII
4RZD PreQ1-III
2NR0 tRNA
3F2X FMN
6CU1 YrlA
4P8Z GIR1
5O7H CRISPR-DR4
4ZNP ZMP-ZTP
1N78 tRNA
2GDI TPP
2YGH SAM
6N2V yybP-ykoY
5NWQ ykkC-III
4FRG AdoCbl-variant
6MJ0 Tymo_tRNA-like
4JF2 preQ1-II
2QUW Hammerhead_3
3LA5 Purine
3Q1Q RNaseP_bact_a
3Q1Q RNaseP_bact_a
5T83 ykkC-yxkD
6CK5 ykkC-yxkD
2CSX tRNA
3T4B IRES_HCV
5C45 FMN
4RUM NiCo
5K7D Pistol
3IWN c-di-GMP-I
3OXE Glycine
5A8L LSU_rRNA_eukarya
5DDP glnA
1M5K Hairpin
4LX6 Purine
5KTJ Pistol
4QK9 ydaO-yuaA
3D0U Lysine
6CB3 yybP-ykoY
3IGI group-II-D1D4-3
5Y85 Twister-sister
4QLM ydaO-yuaA
2AKE tRNA
2R8S Intron_gpI
5UNE HAR1A
2OEU Hammerhead_1
1Y26 Purine
2Z75 glmS
4LVW THF
3GS5 Hairpin
3GS5 Hairpin
1MZP LSU_rRNA_eukarya
2QUS Hammerhead_3
5D8H LSU_rRNA_archaea
4YAZ c-di-GMP-I
4KQY SAM
4MGN tRNA
4MGN tRNA
2QWY SAM_alpha
6OL3 VA
1Y0Q Intron_gpI
6FZ0 SAM_V
6QN3 Downstream-peptide
1J1U tRNA
5DH6 Hammerhead_3
3SKI MFR
4PQV Flavivirus_SLIV
6DLR ykkC-yxkD
1Y27 Purine
5ML7 LSU_rRNA_archaea
1U0B tRNA
3P49 Glycine
6JXM tRNA
2AZX tRNA
4GMA Cobalamin
6DME ykkC-yxkD
4XNR Purine
4P95 GIR1
6MWN IRES_HepA
5FJC SAM
3PDR ykoK
3NPQ SAH_riboswitch
2IL9 IRES_Cripavirus
5U3G ykkC-yxkD
3IVN Purine
4FRN AdoCbl-variant
4GXY Cobalamin
